"SAMPID,C,20","SEX,C,10","UTM_X,N,19,11","UTM_Y,N,19,11"
PN080,F,395148.78038,4051775.4247
PN081,M,376181.263119,4042166.23446
PN082,F,464132.570432,4060549.75589
PN083,F,521376.742019,4083670.6446
PN084,M,549979.346065,4085056.40062
PN085,M,524079.530552,4082065.72693
PN086,M,531044.256547,4083022.01979
PN087,M,527401.929015,4086473.85442
PN088,F,502053.362264,4049286.56486
PN089,F,549045.763654,4093198.78491
PN090,F,603993.188454,4088270.10683
PN091,M,296896.899801,4051001.57908
PN092,M,302611.799281,4089390.23768
PN093,M,299840.883165,4092680.6639
PN094,F,301746.008674,4051001.60598
PN095,M,267032.638936,4085056.80531
PN096,M,261059.749046,4078052.53346
PN097,F,365064.187764,4055002.29107
PN098,M,332101.238624,4093165.69447
PN099,M,332266.380688,4092721.24656
PN100,M,340997.755703,4032142.28192
PN101,F,352908.9773,4027556.28911
PN102,M,361083.452093,4031042.19085
PN103,M,330090.223252,4029873.48456
PN104,F,342963.386468,4037955.39075
PN105,F,333819.527352,3983661.92419
PN106,M,334535.262777,3987790.33962
PN107,F,354626.231739,4000714.88188
PN108,F,379030.505232,4007644.03425
PN109,M,360518.99373,3998987.69473
PN110,F,345847.956597,4002076.27059
PN111,F,335159.62824,4010062.00472
PN112,M,332213.262075,4008050.3422
PN113,M,384642.468624,3855787.40464
PN114,M,280640.07687,3722003.08986
PN115,M,369479.23383,3842748.96681
PN116,F,384515.54445,3854022.76499
PN117,F,427239.271212,3983048.94032
PN119,F,331641.64431,4035162.08317
PN120,M,249077.19547,4092410.51465
PN121,M,177317.47513,3610030.4639
PN122,M,464785.05986,4085646.42279
PN123,F,431774.637711,3734703.58372
PN124,M,195992.869206,3882870.12111
PN125,M,371291.049623,4031796.60567
PN126,F,343100.312337,3959073.90159
PN127,M,304533.503405,4051764.09421
PN128,M,548062.934819,4087513.84846
PN129,M,462547.083059,3981817.76047
PN130,F,363887.597837,3831137.45702
PN131,M,250926.82591,3804494.75641
PN132,M,276157.593728,3782091.99323
PN134,F,182249.238713,3773739.94743
PN135,F,147240.551692,3771212.46305
PN136,M,152559.674976,3754934.54396
PN137,F,163364.493971,3760426.85462
PN138,F,137883.922985,3757030.1244
PN139,M,276880.878993,3719223.17254
PN140,F,278811.22793,3722271.0986
PN141,M,275077.348154,3755037.16505
PN142,M,264110.289764,3662632.71424
PN143,M,245594.576868,3661635.63521
PN145,F,250014.1123,3644083.93616
PN146,M,246201.374162,3667029.68501
PN147,M,255943.482548,3637134.56643
PN148,F,267361.329991,3658312.0544
PN149,M,235058.669323,3669628.03411
PN150,M,264421.028328,3678721.4096
PN151,M,255498.109579,3685073.62046
PN153,F,446877.524571,3633926.72016
PN155,M,447714.533999,3648444.63519
PN156,M,447343.942326,3646387.02226
PN157,F,443811.599885,3690082.15266
PN158,F,435091.59542,3715050.91846
PN160,M,481923.429433,3715328.44813
PN161,F,488964.069661,3710823.69447
PN162,F,430823.451236,3725047.54643
PN164,M,440170.537804,3744681.78829
