WKT,LOT,BLOCK,SUBDIVISIO,STREETNUMB,STREETNAME,STREETDESI,STREETQUAD,APARTMENT,PIN,created_us,created_da,last_edite,last_edi_1,SHAPE_area,SHAPE_len
"POLYGON ((1530937.9648094601 1484863.2944761293,1530800.6348094593 1484862.7961427944,1530800.6664761242 1484912.919476127,1530895.3064761243 1484913.614476132,1530908.6348094582 1484913.6694761305,1530921.5564761229 1484913.66947613,1530927.6481427934 1484912.1544761297,1530931.4464761261 1484909.8728094613,1530933.7281427914 1484907.5911427948,1530935.2598094582 1484905.3111427929,1530936.9781427914 1484901.3111427941,1530938.2914761244 1484889.3411427946,1530937.9464761235 1484872.6394761251,1530937.9648094601 1484863.2944761293))",24,17,UNIVERSITY HEIGHTS,2626,CENTRAL,AV,SE,,ABQ144478,,,,,6844.46277500000,367.47411469300
"POLYGON ((1530783.4314761229 1484862.9744761295,1530783.1664761244 1484812.6844761225,1530646.8214761249 1484814.1944761286,1530647.1814761227 1484865.2644761277,1530783.4314761229 1484862.9744761295))",2,17,UNIVERSITY HEIGHTS,2608,CENTRAL,AV,SE,,ABQ144788,,,,,6908.15105000000,373.98457132400
"POLYGON ((1530938.056476126 1484810.184476123,1530938.1664761249 1484759.7794761283,1530799.7598094586 1484760.6478094577,1530800.1964761235 1484812.4744761272,1530938.056476126 1484810.184476123))",22,17,UNIVERSITY HEIGHTS,105,PRINCETON,DR,SE,,ABQ145088,,,,,7061.05837500000,378.52203508700
"POLYGON ((1530938.056476126 1484810.184476123,1530800.1964761235 1484812.4744761272,1530800.6348094593 1484862.7961427944,1530937.9648094601 1484863.2944761293,1530938.056476126 1484810.184476123))",23,17,UNIVERSITY HEIGHTS,103,PRINCETON,DR,SE,,ABQ144804,,,,,7115.99536528000,378.64357731800
"POLYGON ((1530783.1664761244 1484812.6844761225,1530782.8848094589 1484760.8194761265,1530646.4631427892 1484762.3978094608,1530646.8214761249 1484814.1944761286,1530783.1664761244 1484812.6844761225))",3,17,UNIVERSITY HEIGHTS,2608,CENTRAL,AV,SE,,ABQ145054,,,,,7069.35595278000,376.44782886200
"POLYGON ((1530647.1814761227 1484865.2644761277,1530647.291476123 1484881.279476129,1530646.4464761249 1484893.1478094603,1530647.8214761238 1484899.9911427966,1530649.353142791 1484903.0294761281,1530650.8681427925 1484906.0761427935,1530653.8998094581 1484909.1078094617,1530659.588142792 1484912.2711427948,1530670.6348094582 1484913.6711427965,1530675.9631427894 1484913.6694761319,1530685.0881427897 1484913.66947613,1530783.9314761236 1484912.9194761289,1530783.4314761229 1484862.9744761295,1530647.1814761227 1484865.2644761277))",1,17,UNIVERSITY HEIGHTS,2608,CENTRAL,AV,SE,,ABQ144529,,,,,6645.85991111000,363.14644278100
"POLYGON ((1530799.7598094586 1484760.6478094577,1530938.1664761249 1484759.7794761283,1530938.2598094561 1484708.8578094593,1530799.3231427907 1484710.3661427947,1530799.7598094586 1484760.6478094577))",21,17,UNIVERSITY HEIGHTS,107,PRINCETON,DR,SE,,ABQ145367,,,,,7017.22145000000,378.55955929400
"POLYGON ((1530646.4631427892 1484762.3978094608,1530782.8848094589 1484760.8194761265,1530782.6198094578 1484710.436142795,1530646.088142789 1484710.6478094601,1530646.4631427892 1484762.3978094608))",4,17,UNIVERSITY HEIGHTS,106,COLUMBIA,DR,SE,,ABQ145377,,,,,6969.69484444000,375.09801629600
